61984CJ0064,Judgment of the Court (Second Chamber) of 20 June 1985,Second Chamber,  Queenborough Rolling Mill Company Limited v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 64/84,ECLI identifier: ECLI:EU:C:1985:262,12/03/1984,20/06/1985,United Kingdom,Bahlmann,VerLoren van Themaat,CECA
61984CJ0066,Judgment of the Court (Third Chamber) of 21 March 1985,Third Chamber,  Ferriere di Borgaro SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 66/84,ECLI identifier: ECLI:EU:C:1985:132,13/03/1984,21/03/1985,Italy,Everling,VerLoren van Themaat,CECA
61984CJ0172,Judgment of the Court (Third Chamber) of 21 March 1985,Third Chamber,  Celestri & C,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 172/84,ECLI identifier: ECLI:EU:C:1985:137,03/07/1984,21/03/1985,Italy,Kakouris,Lenz,CECA
61983CJ0250,Judgment of the Court (Fifth Chamber) of 15 January 1985,Fifth Chamber,  Finsider v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 250/83,ECLI identifier: ECLI:EU:C:1985:7,10/11/1983,15/01/1985,Italy,Due,Lenz,CECA
61983CJ0078,Judgment of the Court (Second Chamber) of 13 December 1984,Second Chamber,  Union sidérurgique du Nord et de l'Est de la France "Usinor" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 78/83,ECLI identifier: ECLI:EU:C:1984:393,03/05/1983,13/12/1984,France,Pescatore,Sir Gordon Slynn,CECA
61984CJ0050,Judgment of the Court (Fifth Chamber) of 27 November 1984,Fifth Chamber,  Srl Bensider and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 50/84,ECLI identifier: ECLI:EU:C:1984:365,25/02/1984,27/11/1984,Italy; Belgium,Due,Mancini,CECA
61983CJ0151,Judgment of the Court (First Chamber) of 11 October 1984,First Chamber,  Société Aciéries et Laminoirs de Paris "Alpa" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 151/83,ECLI identifier: ECLI:EU:C:1984:313,25/07/1983,11/10/1984,France,Mackenzie Stuart,Sir Gordon Slynn,CECA
61983CJ0103,Judgment of the Court (First Chamber) of 11 October 1984,First Chamber,  Union sidérurgique du Nord et de l'Est de la France "Usinor" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 103/83,ECLI identifier: ECLI:EU:C:1984:311,03/06/1983,11/10/1984,France,Mackenzie Stuart,Sir Gordon Slynn,CECA
61983CJ0209,Judgment of the Court (Second Chamber) of 12 July 1984,Second Chamber,  Ferriera Valsabbia SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 209/83,ECLI identifier: ECLI:EU:C:1984:274,19/09/1983,12/07/1984,Italy,Bahlmann,VerLoren van Themaat,CECA
61983CJ0081,Judgment of the Court (Second Chamber) of 12 July 1984,Second Chamber,  Acciaierie e Ferriere Busseni SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 81/83,ECLI identifier: ECLI:EU:C:1984:269,09/05/1983,12/07/1984,Italy,Bahlmann,Lenz,CECA
61983CJ0222,Judgment of the Court (Fifth Chamber) of 11 July 1984,Fifth Chamber,  Municipality of Differdange and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 222/83,ECLI identifier: ECLI:EU:C:1984:266,03/10/1983,11/07/1984,Luxembourg,Everling,Lenz,CECA
