61999CJ0273,Judgment of the Court of 6 March 2001,,  Bernard Connolly v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-273/99 P,ECLI identifier: ECLI:EU:C:2001:126,20/07/1999,06/03/2001,,Wathelet,Ruiz-Jarabo Colomer,STAT
61998CJ0459,Judgment of the Court (Fifth Chamber) of 11 January 2001,Fifth Chamber,  Isabel Martínez del Peral Cagigal v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-459/98 P,ECLI identifier: ECLI:EU:C:2001:8,16/12/1998,11/01/2001,,Sevón,Léger,STAT
61998CJ0389,Judgment of the Court (Fifth Chamber) of 11 January 2001,Fifth Chamber,  Hans Gevaert v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-389/98 P,ECLI identifier: ECLI:EU:C:2001:5,02/11/1998,11/01/2001,,Sevón,Léger,STAT
61999CJ0126,Judgment of the Court (Fifth Chamber) of 9 November 2000,Fifth Chamber,  Roberto Vitari v European Training Foundation,  Reference for a preliminary ruling: Pretore di Torino - Italy,  Local staff - Article 79 of the Conditions of Employment of other Servants - Fixed-term contract of employment - Conversion into contract for an indefinite period - Whether or not national legislation applicable,  Case C-126/99,ECLI identifier: ECLI:EU:C:2000:609,14/04/1999,09/11/2000,Italy,Wathelet,Ruiz-Jarabo Colomer,STAT
61999CJ0207,Judgment of the Court (Fifth Chamber) of 9 November 2000,Fifth Chamber,  Commission of the European Communities v Claudine Hamptaux,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-207/99 P,ECLI identifier: ECLI:EU:C:2000:613,31/05/1999,09/11/2000,,Wathelet,Léger,STAT
61998CJ0434,Judgment of the Court of 5 October 2000,,  Council of the European Union v Silvio Busacca and Others and Court of Auditors of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-434/98 P,ECLI identifier: ECLI:EU:C:2000:546,01/12/1998,05/10/2000,,Puissochet,Alber,STAT
61998CJ0432,Judgment of the Court of 5 October 2000,,  Council of the European Union v Christiane Chvatal and Others; Antoinette Losch and Court of Justice of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-432/98 P and C-433/98 P,ECLI identifier: ECLI:EU:C:2000:545,01/12/1998,05/10/2000,,Puissochet,Alber,STAT
61999CJ0174,Judgment of the Court (Fifth Chamber) of 13 July 2000,Fifth Chamber,  European Parliament v Pierre Richard,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-174/99 P,ECLI identifier: ECLI:EU:C:2000:412,10/05/1999,13/07/2000,,Ragnemalm,Mischo,STAT
61999CJ0154,Judgment of the Court (Fifth Chamber) of 29 June 2000,Fifth Chamber,  Corrado Politi v European Training Foundation,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-154/99 P,ECLI identifier: ECLI:EU:C:2000:354,26/04/1999,29/06/2000,,Wathelet,Jacobs,STAT
61998CJ0082,Judgment of the Court (Fourth Chamber) of 25 May 2000,Fourth Chamber,  Max Kögler v Court of Justice of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-82/98 P,ECLI identifier: ECLI:EU:C:2000:282,26/03/1998,25/05/2000,,Ragnemalm,Mischo,STAT
61999CJ0153,Judgment of the Court (Sixth Chamber) of 13 April 2000,Sixth Chamber,  Commission of the European Communities v Antonio Giannini,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-153/99 P,ECLI identifier: ECLI:EU:C:2000:216,23/04/1999,13/04/2000,,Gulmann,Jacobs,STAT
61998CJ0284,Judgment of the Court (Second Chamber) of 16 March 2000,Second Chamber,  European Parliament v Roland Bieber,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-284/98 P,ECLI identifier: ECLI:EU:C:2000:134,24/07/1998,16/03/2000,,Schintgen,Cosmas,STAT
61998CJ0150,Judgment of the Court (Second Chamber) of 16 December 1999,Second Chamber,  Economic and Social Committee of the European Communities v E,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-150/98 P,ECLI identifier: ECLI:EU:C:1999:616,17/04/1998,16/12/1999,,Schintgen,Mischo,STAT
61998CJ0191,Judgment of the Court (First Chamber) of 18 November 1999,First Chamber,  Georges Tzoanos v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-191/98 P,ECLI identifier: ECLI:EU:C:1999:565,19/05/1998,18/11/1999,,Edward,Alber,STAT
61998CJ0229,Judgment of the Court (Sixth Chamber) of 14 October 1999,Sixth Chamber,  Georges Vander Zwalmen and Elisabeth Massart v Belgian State,  Reference for a preliminary ruling: Cour d'appel de Bruxelles - Belgium,  Officials and other servants of the European Communities - Personal income tax - Taxation of the spouse of a Community official,  Case C-229/98,ECLI identifier: ECLI:EU:C:1999:501,26/06/1998,14/10/1999,Belgium,Kapteyn,Ruiz-Jarabo Colomer,STAT
61997CJ0327,Judgment of the Court (Sixth Chamber) of 5 October 1999,Sixth Chamber,  Christos Apostolidis and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-327/97 P,ECLI identifier: ECLI:EU:C:1999:482,19/09/1997,05/10/1999,,Murray,Mischo,STAT
61998CJ0257,Judgment of the Court (First Chamber) of 9 September 1999,First Chamber,  Arnaldo Lucaccioni v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-257/98 P,ECLI identifier: ECLI:EU:C:1999:402,15/07/1998,09/09/1999,,Sevón,Alber,STAT
61998CJ0155,Judgment of the Court (Fifth Chamber) of 1 July 1999,Fifth Chamber,  Spyridoula Celia Alexopoulou v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-155/98 P,ECLI identifier: ECLI:EU:C:1999:345,21/04/1998,01/07/1999,,Sevón,Léger,STAT
61997CJ0430,Judgment of the Court (First Chamber) of 10 June 1999,First Chamber,  Jutta Johannes v Hartmut Johannes,  Reference for a preliminary ruling: Amtsgericht Köln - Germany,  Officials - Pension rights - Apportionment of pension rights in divorce proceedings,  Case C-430/97,ECLI identifier: ECLI:EU:C:1999:293,19/12/1997,10/06/1999,Germany,Sevón,Ruiz-Jarabo Colomer,STAT
61998CJ0002,Judgment of the Court (Sixth Chamber) of 18 March 1999,Sixth Chamber,  Henri De Compte v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-2/98 P,ECLI identifier: ECLI:EU:C:1999:158,07/01/1998,18/03/1999,,Ragnemalm,Alber,STAT
61997CJ0304,Judgment of the Court (Sixth Chamber) of 18 March 1999,Sixth Chamber,  Fernando Carbajo Ferrero v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-304/97 P,ECLI identifier: ECLI:EU:C:1999:152,26/08/1997,18/03/1999,,Ragnemalm,Fennelly,STAT
61997CJ0316,Judgment of the Court (First Chamber) of 19 November 1998,First Chamber,  European Parliament v Giuliana Gaspari,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-316/97 P,ECLI identifier: ECLI:EU:C:1998:558,12/09/1997,19/11/1998,,Wathelet,Ruiz-Jarabo Colomer,STAT
